34,29
29,9
9,4
4,31
31,31
31,37
37,20
20,21
21,14
14,28
28,10
10,35
35,1
1,33
33,29
29,1
1,6
6,40
40,22
22,33
33,18
18,11
11,12
12,5
5,32
32,43
43,11
11,16
16,9
9,34
34,56
56,50
50,50
50,29
29,56
56,22
22,11
11,41
41,12
12,25
25,39
39,5
5,35
35,16
16,11
11,8
8,58
58,37
37,47
47,33
33,42
42,14
14,33
33,50
50,10
10,10
10,26
26,42
42,8
8,56
56,29
29,28
28,33
33,39
39,32
32,36
36,53
53,20
20,7
7,7
7,28
28,5
5,32
32,17
17,59
59,12
12,27
27,14
14,15
15,7
7,32
32,38
38,16
16,45
45,8
8,34
34,6
6,60
60,56
56,21
21,11
11,24
24,13
13,18
18,7
7,43
43,50
50,14
14,9
9,18
18,4
4,1
1,59
59,52
52,22
22,14
14,49
49,31
31,17
17,18
18,22
22,41
41,43
43,24
24,8
8,52
52,12
12,61
61,37
37,33
33,22
22,1
1,3
3,58
58,48
48,27
27,50
50,9
9,18
18,27
27,50
50,47
47,44
44,41
41,61
61,32
32,29
29,29
29,37
37,33
33,55
55,59
59,17
17,52
52,20
20,45
45,10
10,5
5,9
9,28
28,6
6,50
50,2
2,61
61,28
28,15
15,23
23,42
42,40
40,22
22,12
12,31
31,45
45,49
49,29
29,45
45,44
44,38
38,1
1,5
5,8
8,45
45,16
16,56
56,16
16,44
44,36
36,55
55,54
54,23
23,37
37,57
57,49
49,49
49,29
29,2
2,59
59,30
30,56
56,58
58,57
57,30
30,42
42,54
54,15
15,44
44,53
53,25
25,41
41,57
57,32
32,61
61,10
10,38
38,29
29,35
35,34
34,4
4,11
11,11
11,26
26,37
37,30
30,20
20,26
26,8
8,52
52,1
1,12
12,10
10,27
27,45
45,56
56,23
23,2
2,37
37,56
56,54
54,14
14,35
35,17
17,57
57,53
53,43
43,44
44,27
27,43
43,11
11,44
44,7
7,1
1,33
33,47
47,19
19,50
50,11
11,42
42,19
19,6
6,27
27,60
60,39
39,58
58,14
14,33
33,40
40,16
16,43
43,47
47,37
37,35
35,50
50,34
34,36
36,15
15,41
41,5
5,43
43,34
34,21
21,40
40,48
48,60
60,41
41,19
19,21
21,14
14,48
48,9
9,46
46,43
43,46
46,25
25,23
23,61
61,30
30,12
12,32
32,20
20,26
26,61
61,6
6,27
27,9
9,14
14,33
33,15
15,22
22,32
32,50
50,56
56,5
5,39
39,58
58,33
33,9
9,59
59,61
61,14
14,29
29,51
51,48
48,28
28,2
2,24
24,7
7,38
38,28
28,4
4,4
4,56
56,34
34,32
32,59
59,46
46,22
22,24
24,45
45,17
17,28
28,25
25,29
29,26
26,46
46,13
13,42
42,26
26,36
36,38
38,43
43,19
19,7
7,10
10,32
32,56
56,7
7,30
30,5
5,26
26,48
48,2
2,50
50,6
6,17
17,2
2,37
37,22
22,52
52,14
14,49
49,26
26,48
48,42
42,13
13,39
39,47
47,57
57,24
24,58
58,35
35,58
58,35
35,3
3,46
46,12
12,56
56,13
13,40
40,6
6,11
11,35
35,8
8,22
22,2
2,14
14,37
37,42
42,16
16,14
14,12
12,7
7,52
52,50
50,10
10,48
48,43
43,56
56,5
5,48
48,59
59,35
35,19
19,37
37,46
46,39
39,19
19,29
29,16
16,7
7,16
16,2
2,41
41,56
56,12
12,23
23,14
14,12
12,5
5,29
29,38
38,4
4,31
31,52
52,41
41,46
46,38
38,59
59,21
21,52
52,50
50,38
38,35
35,28
28,20
20,45
45,57
57,31
31,26
26,22
22,39
39,37
37,8
8,47
47,35
35,31
31,24
24,39
39,51
51,5
5,18
18,2
2,20
20,45
45,47
47,46
46,12
12,53
53,34
34,17
17,45
45,40
40,9
9,33
33,17
17,6
6,23
23,38
38,29
29,32
32,17
17,1
1,9
9,61
61,5
5,38
38,9
9,42
42,11
11,58
58,59
59,51
51,58
58,27
27,31
31,38
38,41
41,45
45,21
21,19
19,46
46,54
54,61
61,28
28,49
49,51
51,28
28,12
12,12
12,9
9,14
14,51
51,33
33,16
16,15
15,19
19,7
7,9
9,24
24,34
34,34
34,58
58,36
36,2
2,49
49,35
35,18
18,27
27,47
47,56
56,2
2,26
26,61
61,20
20,23
23,30
30,54
54,53
53,29
29,6
6,9
9,24
24,20
20,32
32,50
50,60
60,1
1,33
33,46
46,6
6,56
56,9
9,21
21,44
44,49
49,29
29,59
59,11
11,50
50,17
17,9
9,29
29,35
35,26
26,41
41,13
13,56
56,37
37,30
30,4
4,21
21,11
11,55
55,23
23,49
49,26
26,44
44,40
40,53
53,23
23,14
14,43
43,33
33,36
36,7
7,33
33,34
34,61
61,48
48,15
15,51
51,56
56,57
57,40
40,50
50,42
42,56
56,60
60,16
16,43
43,8
8,36
36,36
36,52
52,11
11,15
15,8
8,7
7,13
13,28
28,54
54,54
54,1
1,38
38,60
60,38
38,18
18,24
24,57
57,44
44,17
17,48
48,22
22,7
7,10
10,5
5,44
44,35
35,53
53,56
56,5
5,41
41,41
41,47
47,24
24,34
34,4
4,42
42,20
20,20
20,30
30,8
8,51
51,28
28,42
42,21
21,6
6,5
5,2
2,2
2,3
3,20
20,11
11,14
14,36
36,20
20,20
20,5
5,52
52,30
30,29
29,54
54,42
42,30
30,10
10,5
5,16
16,1
1,2
2,7
7,30
30,52
52,17
17,8
8,46
46,1
1,10
10,61
61,47
47,45
45,18
18,56
56,9
9,61
61,46
46,44
44,43
43,24
24,42
42,36
36,46
46,53
53,13
13,18
18,24
24,21
21,42
42,40
40,44
44,33
33,45
45,29
29,60
60,55
55,10
10,40
40,13
13,50
50,58
58,23
23,60
60,45
45,61
61,4
4,21
21,19
19,52
52,8
8,15
15,16
16,41
41,45
45,10
10,50
50,27
27,6
6,30
30,7
7,16
16,31
31,45
45,44
44,4
4,19
19,5
5,1
1,17
17,26
26,27
27,28
28,9
9,3
3,27
27,7
7,31
31,1
1,51
51,46
46,45
45,3
3,1
1,50
50,7
7,11
11,61
61,38
38,25
25,9
9,50
50,1
1,44
44,38
38,20
20,54
54,2
2,11
11,17
17,27
27,57
57,46
46,11
11,6
6,51
51,55
55,7
7,3
3,58
58,6
6,44
44,58
58,13
13,29
29,56
56,53
53,51
51,32
32,38
38,5
5,50
50,4
4,18
18,37
37,5
5,27
27,39
39,12
12,39
39,46
46,40
40,33
33,51
51,1
1,48
48,61
61,6
6,48
48,15
15,43
43,50
50,40
40,36
36,38
38,19
19,15
15,43
43,61
61,15
15,16
16,5
5,20
20,44
44,36
36,56
56,61
61,58
58,44
44,30
30,1
1,20
20,2
2,45
45,6
6,45
45,37
37,61
61,11
11,11
11,13
13,35
35,32
32,37
37,57
57,18
18,43
43,51
51,52
52,28
28,55
55,56
56,33
33,56
56,54
54,24
24,51
51,47
47,15
15,6
